year,level_1,value
1990,Total,1622300
1990,Total - Below Secondary,1027100
1990,Total - Secondary,382500
1990,Total - Post Secondary (Non-Tertiary),76700
1990,Total - Diploma & Professional Qualification,59100
1990,Total - University,77000
1990,Total Males,810800
1990,Total Males - Below Secondary,491800
1990,Total Males - Secondary,190700
1990,Total Males - Post Secondary (Non-Tertiary),40000
1990,Total Males - Diploma & Professional Qualification,40100
1990,Total Males - University,48100
1990,Total Females,811500
1990,Total Females - Below Secondary,535200
1990,Total Females - Secondary,191800
1990,Total Females - Post Secondary (Non-Tertiary),36700
1990,Total Females - Diploma & Professional Qualification,18900
1990,Total Females - University,28900
1991,Total,1679300
1991,Total - Below Secondary,1026200
1991,Total - Secondary,397300
1991,Total - Post Secondary (Non-Tertiary),100400
1991,Total - Diploma & Professional Qualification,67200
1991,Total - University,88200
1991,Total Males,831400
1991,Total Males - Below Secondary,486100
1991,Total Males - Secondary,192000
1991,Total Males - Post Secondary (Non-Tertiary),50300
1991,Total Males - Diploma & Professional Qualification,46100
1991,Total Males - University,56900
1991,Total Females,847800
1991,Total Females - Below Secondary,540100
1991,Total Females - Secondary,205300
1991,Total Females - Post Secondary (Non-Tertiary),50100
1991,Total Females - Diploma & Professional Qualification,21000
1991,Total Females - University,31400
1992,Total,1730600
1992,Total - Below Secondary,1028300
1992,Total - Secondary,408800
1992,Total - Post Secondary (Non-Tertiary),108500
1992,Total - Diploma & Professional Qualification,79700
1992,Total - University,105400
1992,Total Males,854700
1992,Total Males - Below Secondary,484900
1992,Total Males - Secondary,193400
1992,Total Males - Post Secondary (Non-Tertiary),55200
1992,Total Males - Diploma & Professional Qualification,52800
1992,Total Males - University,68400
1992,Total Females,875900
1992,Total Females - Below Secondary,543400
1992,Total Females - Secondary,215400
1992,Total Females - Post Secondary (Non-Tertiary),53200
1992,Total Females - Diploma & Professional Qualification,26900
1992,Total Females - University,37100
1993,Total,1768400
1993,Total - Below Secondary,1034000
1993,Total - Secondary,417700
1993,Total - Post Secondary (Non-Tertiary),111600
1993,Total - Diploma & Professional Qualification,83800
1993,Total - University,121400
1993,Total Males,875400
1993,Total Males - Below Secondary,486700
1993,Total Males - Secondary,200300
1993,Total Males - Post Secondary (Non-Tertiary),55800
1993,Total Males - Diploma & Professional Qualification,55800
1993,Total Males - University,76800
1993,Total Females,892900
1993,Total Females - Below Secondary,547300
1993,Total Females - Secondary,217400
1993,Total Females - Post Secondary (Non-Tertiary),55700
1993,Total Females - Diploma & Professional Qualification,28000
1993,Total Females - University,44500
1994,Total,1816800
1994,Total - Below Secondary,1030300
1994,Total - Secondary,438900
1994,Total - Post Secondary (Non-Tertiary),120000
1994,Total - Diploma & Professional Qualification,95100
1994,Total - University,132500
1994,Total Males,894200
1994,Total Males - Below Secondary,480600
1994,Total Males - Secondary,208100
1994,Total Males - Post Secondary (Non-Tertiary),60700
1994,Total Males - Diploma & Professional Qualification,61900
1994,Total Males - University,82900
1994,Total Females,922600
1994,Total Females - Below Secondary,549700
1994,Total Females - Secondary,230800
1994,Total Females - Post Secondary (Non-Tertiary),59300
1994,Total Females - Diploma & Professional Qualification,33200
1994,Total Females - University,49600
1995,Total,1860900
1995,Total - Below Secondary,976800
1995,Total - Secondary,488400
1995,Total - Post Secondary (Non-Tertiary),146100
1995,Total - Diploma & Professional Qualification,108800
1995,Total - University,140800
1995,Total Males,916600
1995,Total Males - Below Secondary,445800
1995,Total Males - Secondary,242200
1995,Total Males - Post Secondary (Non-Tertiary),73400
1995,Total Males - Diploma & Professional Qualification,68600
1995,Total Males - University,86500
1995,Total Females,944300
1995,Total Females - Below Secondary,531000
1995,Total Females - Secondary,246200
1995,Total Females - Post Secondary (Non-Tertiary),72700
1995,Total Females - Diploma & Professional Qualification,40200
1995,Total Females - University,54300
1996,Total,1916400
1996,Total - Below Secondary,1019300
1996,Total - Secondary,475400
