,Country,Substance,EDGAR Country Code,Year,Values
0,Malaysia,CO2,MYS,1970,14.26784385
2,Malaysia,CO2,MYS,1971,14.69604436
4,Malaysia,CO2,MYS,1972,14.71887837
6,Malaysia,CO2,MYS,1973,15.2915944
8,Malaysia,CO2,MYS,1974,18.14043912
10,Malaysia,CO2,MYS,1975,19.43961987
12,Malaysia,CO2,MYS,1976,21.37528569
14,Malaysia,CO2,MYS,1977,21.31482531
16,Malaysia,CO2,MYS,1978,23.32396786
18,Malaysia,CO2,MYS,1979,26.22635143
20,Malaysia,CO2,MYS,1980,28.11134843
22,Malaysia,CO2,MYS,1981,29.6745118
24,Malaysia,CO2,MYS,1982,31.28153756
26,Malaysia,CO2,MYS,1983,34.79610373
28,Malaysia,CO2,MYS,1984,36.08900159
30,Malaysia,CO2,MYS,1985,37.80390651
32,Malaysia,CO2,MYS,1986,38.12151189
34,Malaysia,CO2,MYS,1987,39.24398742
36,Malaysia,CO2,MYS,1988,41.88756055
38,Malaysia,CO2,MYS,1989,49.08421007
40,Malaysia,CO2,MYS,1990,57.51185679
42,Malaysia,CO2,MYS,1991,68.97153937
44,Malaysia,CO2,MYS,1992,72.30280967
46,Malaysia,CO2,MYS,1993,78.89086458
48,Malaysia,CO2,MYS,1994,84.79643846
50,Malaysia,CO2,MYS,1995,91.30684809
52,Malaysia,CO2,MYS,1996,104.2653438
54,Malaysia,CO2,MYS,1997,111.7743196
56,Malaysia,CO2,MYS,1998,110.6233823
58,Malaysia,CO2,MYS,1999,121.1325663
60,Malaysia,CO2,MYS,2000,132.5220901
62,Malaysia,CO2,MYS,2001,139.7752618
64,Malaysia,CO2,MYS,2002,148.9065847
66,Malaysia,CO2,MYS,2003,158.4357081
68,Malaysia,CO2,MYS,2004,170.8697825
70,Malaysia,CO2,MYS,2005,181.8088479
72,Malaysia,CO2,MYS,2006,189.3823865
74,Malaysia,CO2,MYS,2007,206.8440656
76,Malaysia,CO2,MYS,2008,220.1064428
78,Malaysia,CO2,MYS,2009,198.2787636
80,Malaysia,CO2,MYS,2010,216.0465553
82,Malaysia,CO2,MYS,2011,217.6099788
84,Malaysia,CO2,MYS,2012,220.6446422
86,Malaysia,CO2,MYS,2013,237.8010455
88,Malaysia,CO2,MYS,2014,251.7379793
90,Malaysia,CO2,MYS,2015,252.6107283
92,Malaysia,CO2,MYS,2016,248.2969622
94,Malaysia,CO2,MYS,2017,240.5134148
96,Malaysia,CO2,MYS,2018,257.8039042
98,Malaysia,CO2,MYS,2019,266.2147447
100,Malaysia,CO2,MYS,2020,256.1914887
102,Malaysia,CO2,MYS,2021,251.5552154
