year,level_1,level_2,level_3,level_4,value
2015,Total,Total,"Total","Public Bus Only",353.6
2015,Total,Total,"Total","MRT Only",257.7
2015,Total,Total,"Total","MRT & Public Bus Only",533.4
2015,Total,Total,"Total","Other Combinations Of MRT Or Public Bus",115.5
2015,Total,Total,"Total","Taxi Only",28.4
2015,Total,Total,"Total","Car Only",470
2015,Total,Total,"Total","Private Chartered Bus/Van Only",58.3
2015,Total,Total,"Total","Lorry/Pickup Only",42.8
2015,Total,Total,"Total","Motorcycle/Scooter Only",73.2
2015,Total,Total,"Total","Others",32.1
2015,Total,Total,"Total","No Transport Required",182.7
2015,Total,Manufacturing,"Total","Public Bus Only",39.9
2015,Total,Manufacturing,"Total","MRT Only",13.9
2015,Total,Manufacturing,"Total","MRT & Public Bus Only",45.3
2015,Total,Manufacturing,"Total","Other Combinations Of MRT Or Public Bus",17.7
2015,Total,Manufacturing,"Total","Taxi Only",1
2015,Total,Manufacturing,"Total","Car Only",66.8
2015,Total,Manufacturing,"Total","Private Chartered Bus/Van Only",20.7
2015,Total,Manufacturing,"Total","Lorry/Pickup Only",6.4
2015,Total,Manufacturing,"Total","Motorcycle/Scooter Only",11.8
2015,Total,Manufacturing,"Total","Others",5.3
2015,Total,Manufacturing,"Total","No Transport Required",9.9
2015,Total,Construction,"Total","Public Bus Only",11.8
2015,Total,Construction,"Total","MRT Only",7.8
2015,Total,Construction,"Total","MRT & Public Bus Only",20.2
2015,Total,Construction,"Total","Other Combinations Of MRT Or Public Bus",3
2015,Total,Construction,"Total","Taxi Only",0.6
2015,Total,Construction,"Total","Car Only",37.4
2015,Total,Construction,"Total","Private Chartered Bus/Van Only",3.4
2015,Total,Construction,"Total","Lorry/Pickup Only",12.2
2015,Total,Construction,"Total","Motorcycle/Scooter Only",5.6
2015,Total,Construction,"Total","Others",1.8
2015,Total,Construction,"Total","No Transport Required",6.7
2015,Total,Services- Total,"Total","Public Bus Only",299.3
2015,Total,Services- Total,"Total","MRT Only",234.2
2015,Total,Services- Total,"Total","MRT & Public Bus Only",462.8
2015,Total,Services- Total,"Total","Other Combinations Of MRT Or Public Bus",92.7
2015,Total,Services- Total,"Total","Taxi Only",26.7
2015,Total,Services- Total,"Total","Car Only",360
2015,Total,Services- Total,"Total","Private Chartered Bus/Van Only",33.6
2015,Total,Services- Total,"Total","Lorry/Pickup Only",23.1
2015,Total,Services- Total,"Total","Motorcycle/Scooter Only",53.8
2015,Total,Services- Total,"Total","Others",24.1
2015,Total,Services- Total,"Total","No Transport Required",165.1
2015,Total,Services- Wholesale & Retail Trade,"Total","Public Bus Only",56
2015,Total,Services- Wholesale & Retail Trade,"Total","MRT Only",38.3
2015,Total,Services- Wholesale & Retail Trade,"Total","MRT & Public Bus Only",83
2015,Total,Services- Wholesale & Retail Trade,"Total","Other Combinations Of MRT Or Public Bus",18
2015,Total,Services- Wholesale & Retail Trade,"Total","Taxi Only",2.6
2015,Total,Services- Wholesale & Retail Trade,"Total","Car Only",95.3
2015,Total,Services- Wholesale & Retail Trade,"Total","Private Chartered Bus/Van Only",11.5
2015,Total,Services- Wholesale & Retail Trade,"Total","Lorry/Pickup Only",11.2
2015,Total,Services- Wholesale & Retail Trade,"Total","Motorcycle/Scooter Only",8.6
2015,Total,Services- Wholesale & Retail Trade,"Total","Others",5.2
2015,Total,Services- Wholesale & Retail Trade,"Total","No Transport Required",34.4
