"Timestamp","Age","Duration of sleep ","What time do you usually sleep on school days ?","Rate your Quality of Sleep from 1-10","Time Spent on Phone (Everyday)"
"2023/01/06 1:13:21 PM GMT+8","17","5 to 7 hours","12 to 1 am","8","4 to  5 hours"
"2023/01/06 1:13:44 PM GMT+8","17","5 to 7 hours","12 to 1 am","8","4 to  5 hours"
"2023/01/08 2:17:59 PM GMT+8","17","7 to 10 hours","12 to 1 am","7","4 to  5 hours"
"2023/01/08 2:19:58 PM GMT+8","17","5 to 7 hours","11 to 12 am","6","4 to  5 hours"
"2023/01/08 2:20:54 PM GMT+8","17","5 to 7 hours","1 to 2 am","6","4 to  5 hours"
"2023/01/08 2:27:57 PM GMT+8","15","7 to 10 hours","10 to 11pm","5","4 to  5 hours"
"2023/01/08 2:28:02 PM GMT+8","14","5 to 7 hours","10 to 11pm","6","6 to 7 hours"
"2023/01/08 3:02:30 PM GMT+8","17","0 to 5 hours","1 to 2 am","5","5 to 6 hours"
"2023/01/08 3:37:55 PM GMT+8","15","0 to 5 hours","10 to 11pm","4","More than 8 hours"
"2023/01/08 4:03:47 PM GMT+8","15","0 to 5 hours","12 to 1 am","1","More than 8 hours"
"2023/01/08 4:22:22 PM GMT+8","15","5 to 7 hours","10 to 11pm","7","4 to  5 hours"
"2023/01/08 5:21:20 PM GMT+8","16","7 to 10 hours","10 to 11pm","8","5 to 6 hours"
"2023/01/08 5:56:44 PM GMT+8","18","7 to 10 hours","10 to 11pm","1","More than 8 hours"
"2023/01/08 9:23:18 PM GMT+8","15","5 to 7 hours","11 to 12 am","5","2 to 3 hours"
"2023/01/08 9:42:26 PM GMT+8","15","5 to 7 hours","11 to 12 am","5","4 to  5 hours"
"2023/01/09 11:44:43 AM GMT+8","17","7 to 10 hours","11 to 12 am","6","Less than 2 hours"
"2023/01/09 11:45:41 AM GMT+8","21","5 to 7 hours","12 to 1 am","6","2 to 3 hours"
"2023/01/09 1:08:37 PM GMT+8","17","5 to 7 hours","12 to 1 am","7","4 to  5 hours"
"2023/01/13 12:01:17 PM GMT+8","19","5 to 7 hours","12 to 1 am","1","3 to 4 hours"
"2023/01/15 4:54:45 PM GMT+8","18","5 to 7 hours","12 to 1 am","5","5 to 6 hours"
"2023/01/15 4:55:04 PM GMT+8","20","5 to 7 hours","1 to 2 am","5","6 to 7 hours"
"2023/01/15 4:55:24 PM GMT+8","19","5 to 7 hours","12 to 1 am","6","6 to 7 hours"
"2023/01/15 4:55:44 PM GMT+8","17","5 to 7 hours","After 2 am","3","6 to 7 hours"
"2023/01/16 9:47:01 AM GMT+8","19","5 to 7 hours","After 2 am","3","7 to 8 hours"
"2023/01/16 10:34:38 AM GMT+8","18","7 to 10 hours","10 to 11pm","9","4 to  5 hours"
"2023/01/16 10:35:10 AM GMT+8","20","7 to 10 hours","11 to 12 am","8","3 to 4 hours"
"2023/01/16 10:35:28 AM GMT+8","18","7 to 10 hours","11 to 12 am","6","3 to 4 hours"
"2023/01/16 10:35:51 AM GMT+8","19","7 to 10 hours","12 to 1 am","5","3 to 4 hours"
"2023/01/16 10:36:18 AM GMT+8","19","7 to 10 hours","Earlier than 10pm","9","4 to  5 hours"
"2023/01/16 10:54:14 AM GMT+8","19","7 to 10 hours","10 to 11pm","6","5 to 6 hours"
"2023/01/16 10:54:34 AM GMT+8","19","7 to 10 hours","11 to 12 am","8","4 to  5 hours"
"2023/01/16 1:56:39 PM GMT+8","19","5 to 7 hours","1 to 2 am","3","7 to 8 hours"
"2023/01/17 2:59:28 PM GMT+8","17","5 to 7 hours","12 to 1 am","6","5 to 6 hours"
"2023/01/17 2:59:53 PM GMT+8","18","0 to 5 hours","11 to 12 am","9","6 to 7 hours"
"2023/01/17 3:00:21 PM GMT+8","17","7 to 10 hours","12 to 1 am","8","6 to 7 hours"
"2023/01/17 3:00:28 PM GMT+8","17","5 to 7 hours","12 to 1 am","7","6 to 7 hours"
"2023/01/17 3:01:18 PM GMT+8","14","5 to 7 hours","11 to 12 am","8","6 to 7 hours"
"2023/01/17 3:01:34 PM GMT+8","16","5 to 7 hours","11 to 12 am","7","5 to 6 hours"
"2023/01/17 3:02:08 PM GMT+8","21","5 to 7 hours","12 to 1 am","5","5 to 6 hours"
"2023/01/17 3:02:30 PM GMT+8","18","7 to 10 hours","10 to 11pm","6","6 to 7 hours"
"2023/01/17 3:17:53 PM GMT+8","17","0 to 5 hours","After 2 am","7","More than 8 hours"
"2023/01/24 12:09:21 AM GMT+8","18","5 to 7 hours","12 to 1 am","7","2 to 3 hours"
"2023/01/30 10:24:28 AM GMT+8","17","5 to 7 hours","12 to 1 am","8","4 to  5 hours"
"2023/01/30 10:24:47 AM GMT+8","18","5 to 7 hours","12 to 1 am","7","4 to  5 hours"
"2023/01/30 10:25:01 AM GMT+8","18","0 to 5 hours","1 to 2 am","5","5 to 6 hours"
"2023/01/30 10:25:21 AM GMT+8","18","0 to 5 hours","12 to 1 am","5","4 to  5 hours"
"2023/01/30 10:25:45 AM GMT+8","17","0 to 5 hours","12 to 1 am","5","4 to  5 hours"
"2023/01/30 10:26:40 AM GMT+8","17","0 to 5 hours","12 to 1 am","5","7 to 8 hours"
"2023/01/30 10:27:38 AM GMT+8","19","5 to 7 hours","12 to 1 am","5","6 to 7 hours"
"2023/01/30 10:28:54 AM GMT+8","17","0 to 5 hours","12 to 1 am","5","5 to 6 hours"
"2023/01/30 10:31:14 AM GMT+8","17","0 to 5 hours","12 to 1 am","4","4 to  5 hours"
"2023/01/30 10:31:28 AM GMT+8","17","0 to 5 hours","1 to 2 am","4","7 to 8 hours"
"2023/01/30 10:38:31 AM GMT+8","14","More than 10 hours","Earlier than 10pm","3","More than 8 hours"
"2023/01/30 10:39:10 AM GMT+8","16","0 to 5 hours","After 2 am","9","More than 8 hours"
"2023/01/30 10:39:29 AM GMT+8","14","5 to 7 hours","After 2 am","7","5 to 6 hours"
"2023/01/30 10:42:15 AM GMT+8","18","0 to 5 hours","12 to 1 am","5","3 to 4 hours"
"2023/01/30 10:42:27 AM GMT+8","17","0 to 5 hours","1 to 2 am","5","5 to 6 hours"
"2023/01/30 10:42:40 AM GMT+8","17","0 to 5 hours","After 2 am","5","5 to 6 hours"
"2023/01/30 10:42:56 AM GMT+8","17","0 to 5 hours","12 to 1 am","6","6 to 7 hours"
"2023/01/30 10:43:22 AM GMT+8","18","5 to 7 hours","12 to 1 am","5","4 to  5 hours"
"2023/01/30 10:43:52 AM GMT+8","18","0 to 5 hours","After 2 am","2","7 to 8 hours"
"2023/01/30 10:43:54 AM GMT+8","18","0 to 5 hours","1 to 2 am","5","6 to 7 hours"
"2023/02/03 8:07:46 AM GMT+8","18","0 to 5 hours","After 2 am","2","6 to 7 hours"
"2023/02/03 8:07:59 AM GMT+8","18","5 to 7 hours","12 to 1 am","7","4 to  5 hours"
"2023/02/03 8:08:39 AM GMT+8","17","7 to 10 hours","10 to 11pm","9","3 to 4 hours"
"2023/02/03 8:08:54 AM GMT+8","18","7 to 10 hours","10 to 11pm","8","3 to 4 hours"
"2023/02/03 8:09:12 AM GMT+8","17","5 to 7 hours","11 to 12 am","7","4 to  5 hours"
"2023/02/03 8:09:26 AM GMT+8","18","7 to 10 hours","11 to 12 am","8","4 to  5 hours"
"2023/02/03 8:09:44 AM GMT+8","18","7 to 10 hours","10 to 11pm","8","3 to 4 hours"
"2023/02/03 8:10:01 AM GMT+8","18","5 to 7 hours","11 to 12 am","7","4 to  5 hours"
"2023/02/03 8:10:24 AM GMT+8","18","7 to 10 hours","10 to 11pm","8","4 to  5 hours"
"2023/02/03 8:10:46 AM GMT+8","19","0 to 5 hours","After 2 am","3","7 to 8 hours"
"2023/02/03 8:11:04 AM GMT+8","17","0 to 5 hours","After 2 am","1","More than 8 hours"
"2023/02/03 8:11:16 AM GMT+8","18","0 to 5 hours","After 2 am","1","More than 8 hours"
"2023/02/03 8:11:26 AM GMT+8","18","0 to 5 hours","After 2 am","1","More than 8 hours"
"2023/02/03 8:11:43 AM GMT+8","17","0 to 5 hours","1 to 2 am","3","5 to 6 hours"
"2023/02/03 8:12:00 AM GMT+8","18","More than 10 hours","Earlier than 10pm","9","2 to 3 hours"
"2023/02/03 8:12:27 AM GMT+8","18","More than 10 hours","10 to 11pm","8","2 to 3 hours"
"2023/02/03 8:13:13 AM GMT+8","18","5 to 7 hours","11 to 12 am","8","3 to 4 hours"
"2023/02/03 8:13:41 AM GMT+8","18","5 to 7 hours","11 to 12 am","8","3 to 4 hours"
"2023/02/03 8:14:02 AM GMT+8","18","7 to 10 hours","11 to 12 am","8","4 to  5 hours"
"2023/02/03 8:21:26 AM GMT+8","17","5 to 7 hours","12 to 1 am","7","5 to 6 hours"
"2023/02/03 11:19:37 AM GMT+8","18","0 to 5 hours","After 2 am","3","6 to 7 hours"
"2023/02/03 11:19:55 AM GMT+8","17","7 to 10 hours","11 to 12 am","7","3 to 4 hours"
"2023/02/03 11:20:10 AM GMT+8","18","More than 10 hours","Earlier than 10pm","10","Less than 2 hours"
"2023/02/03 11:20:32 AM GMT+8","18","7 to 10 hours","11 to 12 am","8","3 to 4 hours"
"2023/02/03 11:20:49 AM GMT+8","18","7 to 10 hours","12 to 1 am","7","4 to  5 hours"
"2023/02/03 11:21:08 AM GMT+8","18","7 to 10 hours","12 to 1 am","8","3 to 4 hours"
"2023/02/03 11:21:43 AM GMT+8","17","7 to 10 hours","11 to 12 am","9","2 to 3 hours"
"2023/02/03 11:22:03 AM GMT+8","18","7 to 10 hours","11 to 12 am","8","3 to 4 hours"
"2023/02/03 11:22:24 AM GMT+8","17","0 to 5 hours","After 2 am","3","6 to 7 hours"
"2023/02/03 11:22:40 AM GMT+8","18","7 to 10 hours","11 to 12 am","8","3 to 4 hours"
"2023/02/03 11:22:50 AM GMT+8","18","7 to 10 hours","12 to 1 am","7","4 to  5 hours"
"2023/02/03 11:22:55 AM GMT+8","18","0 to 5 hours","After 2 am","4","7 to 8 hours"
"2023/02/03 11:23:15 AM GMT+8","18","5 to 7 hours","11 to 12 am","7","4 to  5 hours"
"2023/02/03 11:23:38 AM GMT+8","18","7 to 10 hours","10 to 11pm","9","2 to 3 hours"
